What is your age group? ,  What is your occupation? ,Where do you live? ,How many hours per day do you spend on social media? ,How has social media affected your real-life relationships? ,How frequently do you use email for communication? ,Do you use LinkedIn for professional networking?  ,How often do you use WhatsApp for communication? ,Which social media platforms do you use the most?  ,Do you feel that social media affects your mental health?  
18-25,Student,Urban Area,More than 5 hours,Improved,Daily,"Yes, actively",Daily,LinkedIn,"Yes, negatively"
18-25,Student,Urban Area,3-5 hours,No Change,Never,"No, never",Daily,Others,Not sure
18-25,Student,Urban Area,3-5 hours,No Change,Rarely,Rarely,Daily,Facebook,Not sure
18-25,Student,Urban Area,3-5 hours,Worsened,Never,"No, never",Daily,Facebook,"Yes, negatively"
18-25,Student,Suburban Area,3-5 hours,Improved,A few times a week,"Yes, actively",Daily,Facebook,"Yes, negatively"
18-25,Student,Suburban Area,More than 5 hours,No Change,Rarely,"Yes, actively",Daily,LinkedIn,"Yes, positively"
18-25,Student,Rural Area,More than 5 hours,No Change,Rarely,Rarely,Daily,Instagram,Not sure
18-25,Student,Urban Area,3-5 hours,No Change,A few times a week,Rarely,Daily,Facebook,"Yes, positively"
18-25,Student,Suburban Area,3-5 hours,Improved,A few times a week,"No, never",Daily,Facebook,Not sure
18-25,Student,Urban Area,More than 5 hours,Worsened,Rarely,Rarely,A few times a week,Facebook,"Yes, negatively"
18-25,Student,Rural Area,3-5 hours,Worsened,Rarely,"No, never",A few times a week,Facebook,"Yes, negatively"
18-25,Student,Urban Area,3-5 hours,Improved,Never,"No, never",Daily,Facebook,"Yes, positively"
18-25,Freelancer,Suburban Area,More than 5 hours,Improved,A few times a week,"Yes, actively",Daily,Facebook,"Yes, positively"
18-25,Student,Rural Area,More than 5 hours,Worsened,A few times a week,Sometimes,Daily,Instagram,Not sure
18-25,Student,Rural Area,1-2 hours,Improved,A few times a week,Sometimes,Daily,Facebook,Not sure
18-25,Student,Rural Area,1-2 hours,Improved,Rarely,"Yes, actively",Daily,Facebook,Not sure
18-25,Student,Suburban Area,3-5 hours,No Change,Rarely,Sometimes,Daily,Facebook,"Yes, negatively"
18-25,Student,Urban Area,1-2 hours,No Change,Rarely,"Yes, actively",Daily,Facebook,"Yes, negatively"
18-25,Student,Urban Area,More than 5 hours,Worsened,Rarely,"Yes, actively",Daily,Facebook,"Yes, negatively"
18-25,Student,Urban Area,1-2 hours,Worsened,Rarely,"No, never",A few times a week,Facebook,"Yes, negatively"
18-25,Student,Urban Area,3-5 hours,No Change,Daily,"Yes, actively",Daily,Facebook,Not sure
18-25,Student,Rural Area,3-5 hours,No Change,A few times a week,Sometimes,Daily,Facebook,"Yes, positively"
18-25,Student,Urban Area,1-2 hours,Worsened,Daily,Sometimes,Never,Facebook,"Yes, negatively"
18-25,Student,Rural Area,1-2 hours,Worsened,A few times a week,Sometimes,Daily,Facebook,"Yes, negatively"
18-25,Student,Urban Area,More than 5 hours,Improved,Rarely,"No, never",A few times a week,Facebook,"Yes, negatively"
18-25,Student,Urban Area,1-2 hours,No Change,Rarely,"No, never",A few times a week,Instagram,"No, it has no effect"
18-25,Student,Urban Area,1-2 hours,Worsened,Rarely,Rarely,A few times a week,Instagram,"Yes, positively"
18-25,Student,Urban Area,3-5 hours,Worsened,Rarely,"No, never",Daily,Facebook,"Yes, negatively"
18-25,Student,Rural Area,More than 5 hours,Improved,Daily,Rarely,Daily,Instagram,"Yes, positively"
18-25,Student,Suburban Area,1-2 hours,Improved,Daily,"No, never",Daily,Facebook,"No, it has no effect"
18-25,Student,Urban Area,1-2 hours,Improved,A few times a week,Sometimes,Daily,Facebook,"Yes, positively"
18-25,Student,Urban Area,3-5 hours,No Change,Never,"No, never",Daily,Facebook,Not sure
18-25,Student,Rural Area,1-2 hours,No Change,Daily,"Yes, actively",Daily,Facebook,Not sure
18-25,Student,Suburban Area,1-2 hours,No Change,Rarely,"No, never",Daily,Facebook,"Yes, negatively"
18-25,Student,Urban Area,1-2 hours,Improved,Daily,"Yes, actively",Daily,Others,"Yes, negatively"
18-25,Unemployed,Urban Area,1-2 hours,No Change,Rarely,Sometimes,A few times a week,Facebook,"No, it has no effect"
18-25,Student,Rural Area,More than 5 hours,Improved,A few times a week,"No, never",Daily,Facebook,"Yes, positively"
18-25,Student,Rural Area,3-5 hours,Worsened,Rarely,"No, never",A few times a week,Facebook,"Yes, negatively"
18-25,Other,Urban Area,More than 5 hours,No Change,Never,"No, never",Never,Others,Not sure
18-25,Student,Urban Area,3-5 hours,No Change,Never,"No, never",Daily,Others,Not sure
18-25,Student,Rural Area,More than 5 hours,Worsened,Never,"No, never",Daily,Facebook,"Yes, negatively"
18-25,Student,Rural Area,1-2 hours,Improved,A few times a week,Rarely,Daily,Instagram,Not sure
18-25,Student,Urban Area,1-2 hours,Worsened,Daily,"Yes, actively",Daily,Facebook,"Yes, negatively"
26-40,Employee,Rural Area,More than 5 hours,Worsened,A few times a week,Rarely,A few times a week,Facebook,"Yes, negatively"
18-25,Student,Rural Area,3-5 hours,Worsened,Rarely,Rarely,Daily,Facebook,Not sure
18-25,Student,Rural Area,3-5 hours,Worsened,Rarely,Sometimes,Daily,Facebook,"Yes, negatively"
18-25,Student,Urban Area,3-5 hours,Worsened,Rarely,"No, never",Daily,Facebook,"Yes, negatively"
18-25,Student,Urban Area,More than 5 hours,Improved,A few times a week,"No, never",Daily,Facebook,"Yes, negatively"
18-25,Freelancer,Rural Area,Less than 1 hour,No Change,A few times a week,"Yes, actively",Daily,LinkedIn,"Yes, negatively"
